GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate?,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF?,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Number of Wells,GCCS Capacity (cfm),Passive Venting/Flaring?,Latitude_orig,Longitude_orig,Nearest_Fiber_Distance_km,Fiber_Provider,Fiber_Technology,Fiber_Download_Speed,Fiber_Block_GEOID,Fiber_Source_File,Nearest_Fiber_Lat,Nearest_Fiber_Lon,Has_Fiber_Within_1km,Has_Fiber_Within_5km,Has_Fiber_Within_10km,Fiber_Locations_Within_10km,Connection_Complexity,Est_Underground_Pct,Est_Connection_Cost
1007341.0,1994.0,Anchorage Regional Landfill,AK,15500 E. Eagle River Loop Road,Eagle River,Anchorage,99577,61.293281,-149.602138,Public,"Municipality of Anchorage, AK","Municipality of Anchorage, AK",1987.0,2043.0,Open,165.0,112.0,300.0,150.0,27104639.0,11008984.0,2022.0,301589.0,2022.0,No,Not used,Yes,5.675,Yes,4.066,2022.0,50.7,Yes,1.0,1.915,2022.0,111.0,2000.0,No,61.293281,-149.602138,16.49238407142813,"Valor Telecommunications of Texas, LP",50.0,2000.0,350250006007035,32.csv,61.21121546871103,-149.72568533665213,False,False,False,0.0,Very High,20.0,247385.76107142196
1010389.0,11941.0,Capitol Disposal Landfill,AK,5600 Tonsgard Court,Juneau,Juneau,99801,58.3528,-134.4947,Private,WM,,1965.0,2049.0,Open,35.0,,,38.0,1814421.0,1008308.0,2022.0,29530.0,2022.0,No,Not used,No,0.765,Yes,0.614,2022.0,27.6,Yes,1.0,0.614,2022.0,48.0,1300.0,No,58.3528,-134.4947,1668.9269516356976,Alenco Communications Inc,50.0,1000.0,484790017104091,44.csv,48.99654423463527,-122.75880722112451,False,False,False,0.0,Very High,20.0,25033904.274535462
1005349.0,12216.0,Central Peninsula Landfill (CPL),AK,46915 Sterling Highway,Soldotna,Kenai Peninsula,99669,60.443004,-151.107896,Public,"Kenai Peninsula Borough, AK","Kenai Peninsula Borough, AK",1969.0,2042.0,Open,,24.8,,,2703698.0,1810714.0,2022.0,44467.0,2022.0,Yes,Several times per year,Yes,0.657,No,,,,No,,,,,,Yes,60.443004,-151.107896,150.51841733218626,Pavlov Media,50.0,1000.0,171130054023045,14.csv,61.14108879238639,-149.94814108814285,False,False,False,0.0,Very High,20.0,2257776.259982794
,10960.0,Kodiak Island Borough Landfill,AK,1203 Monashka Bay Road,Kodiak,Kodiak Island,99615,57.80874,-152.40761,Public,"Kodiak Island Borough, AK","Kodiak Island Borough, AK",,2014.0,Closed,,,,100.0,,228688.0,2007.0,14674.0,2007.0,Unknown,Not used,No,,No,,,,Unknown,,,,,,Unknown,57.80874,-152.40761,460.53410689809584,Pavlov Media,50.0,1000.0,171130054023045,14.csv,61.14108879238639,-149.94814108814285,False,False,False,0.0,Very High,20.0,6908011.6034714375
1004380.0,11020.0,Merrill Field Landfill,AK,800 Merrill Field Drive,Anchorage,Anchorage,99501,61.21266,-149.84012,Public,"Municipality of Anchorage, AK",,1960.0,1987.0,Closed,,185.7,,,3295353.0,3295353.0,1987.0,205044.0,1987.0,No,Not used,No,1.187,Yes,0.117,2022.0,35.6,Yes,1.0,0.117,2022.0,30.0,500.0,No,61.21266,-149.84012,4.336873323084662,Verizon,50.0,940.0,421010378008017,39.csv,61.21160769890241,-149.80113175951672,False,True,True,10.0,Medium,60.0,108421.83307711655
1011448.0,10980.0,Palmer Central Landfill,AK,"1201 N. 49th State Street
Just off the Palmer-Wasilla Highway",Palmer,Matanuska-Susitna,99645,61.59,-149.21,Public,"Matanuska-Susitna Borough, AK","Matanuska-Susitna Borough, AK",1980.0,2150.0,Open,,,,45.0,41974220.0,2200139.0,2022.0,92974.0,2022.0,No,Not used,Yes,,Yes,0.263,2022.0,32.0,Yes,,0.263,2022.0,13.0,600.0,Yes,61.59,-149.21,71.14816635991266,"Valor Telecommunications of Texas, LP",50.0,2000.0,350250006007035,32.csv,61.21121546871103,-149.72568533665213,False,False,False,0.0,Very High,20.0,1067222.49539869
1006806.0,10961.0,South Cushman Landfill,AK,455 Sanduri Street,Fairbanks,Fairbanks North Star,99701,64.80476,-147.70085,Public,"Fairbanks North Star Borough, AK","Fairbanks North Star Borough, AK",1963.0,2082.0,Open,,97.7,,,10518622.0,4710091.0,2022.0,108038.0,2022.0,Yes,Several times per year,Yes,0.858,No,,,,No,,,,,,No,64.80476,-147.70085,458.65070589337824,"Valor Telecommunications of Texas, LP",50.0,2000.0,350250006007035,32.csv,61.21121546871103,-149.72568533665213,False,False,False,0.0,Very High,20.0,6879760.588400674
,11000.0,Unalaska Landfill,AK,1181 Summer Bay Road,Unalaska,Aleutians West,99685,53.88463,-166.50657,Public,City of Unalaska,City of Unalaska,1970.0,2013.0,Closed,,,,30.0,,,,900.0,2007.0,Unknown,Not used,No,,Unknown,,,,Unknown,,,,,,Unknown,53.88463,-166.50657,2010.2547031046627,Pavlov Media,50.0,1000.0,171130054023045,14.csv,61.14108879238639,-149.94814108814285,False,False,False,0.0,Very High,20.0,30153820.54656994
1001297.0,10860.0,Arrowhead Landfill,AL,"On Cahaba Road
622 Tayloe Road",Uniontown,Perry,36786,32.413,-87.4685,Private,Arrowhead Environmental Partners,,2007.0,2099.0,Open,425.3,,,,63278380.0,6357488.0,2022.0,852212.0,2022.0,Yes,Several times per year,No,0.3,No,,,,No,,,,,,Yes,32.413,-87.4685,42.37594757682418,Bixby Telephone Co,50.0,1000.0,401430076562012,37.csv,32.362081291071306,-87.09082092176332,False,False,False,0.0,Very High,20.0,635639.2136523627
,27.0,Athens/Limestone County SLF MSWLF,AL,"Strain Road
off Highway 31",Athens,Limestone,35611,34.7634,-86.9399,Public,"City of Athens, AL","City of Athens, AL",1972.0,1996.0,Closed,65.0,,78.0,,,1195575.0,,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown,34.7634,-86.9399,29.190437617653526,Metronet Holdings,50.0,10000.0,120730026053063,10.csv,34.50151643214602,-86.9216900815731,False,False,False,0.0,Very High,20.0,437856.5642648029
