City,State,Latitude,Longitude,Population
Affton,MO,38.5499,-90.3264,20035
Mayfield Heights,OH,41.5174,-81.4534,20082
Port Angeles,WA,48.1141,-123.4565,20087
Nanuet,NY,41.0957,-74.0155,20089
La Cañada Flintridge,CA,34.2097,-118.2002,20094
East Massapequa,NY,40.6742,-73.4359,20142
Rolla,MO,37.9459,-91.7607,20144
Palisades Park,NJ,40.8472,-73.9966,20192
Centerton,AR,36.3566,-94.2971,20212
Sherwood,OR,45.3594,-122.8427,20227
Lynbrook,NY,40.6579,-73.6742,20251
Morristown,NJ,40.7967,-74.4772,20256
Westminster,MD,39.5796,-77.0067,20257
Howard,WI,44.5703,-88.0928,20261
Lennox,CA,33.938,-118.3586,20289
East Hemet,CA,33.7301,-116.941,20292
Monroe,MI,41.9155,-83.3849,20330
North Amityville,NY,40.7005,-73.4119,20364
Portland,TX,27.8942,-97.3278,20369
Makakilo,HI,21.3591,-158.0813,20372
Meadowbrook,VA,37.4301,-77.474,20383
Lomita,CA,33.7933,-118.3175,20409
Frankfort,IL,41.4892,-87.8363,20417
Culpeper,VA,38.4704,-78.0001,20437
Buckhall,VA,38.7239,-77.4476,20447
Painesville,OH,41.724,-81.2536,20453
Sidney,OH,40.2891,-84.1667,20457
Golden,CO,39.7406,-105.2118,20467
Westbrook,ME,43.6954,-70.3539,20484
South Burlington,VT,44.4622,-73.2202,20488
Libertyville,IL,42.287,-87.967,20493
Adrian,MI,41.8994,-84.0447,20493
North Bay Shore,NY,40.7602,-73.2617,20501
Piqua,OH,40.1506,-84.2441,20533
South Milwaukee,WI,42.912,-87.8627,20547
Merrifield,VA,38.8731,-77.2426,20549
Altoona,IA,41.6483,-93.4783,20592
Arlington,WA,48.1701,-122.1442,20599
Pleasantville,NJ,39.39,-74.5169,20604
Pittsburg,KS,37.4129,-94.6985,20606
Bethany,OK,35.5071,-97.6418,20606
Parma Heights,OH,41.3865,-81.7637,20616
Shafter,CA,35.4794,-119.2013,20618
Groveland,FL,28.6098,-81.8246,20621
Elko,NV,40.8381,-115.7678,20624
South St. Paul,MN,44.8877,-93.0411,20633
Saco,ME,43.539,-70.4624,20636
Tullahoma,TN,35.3721,-86.2172,20672
Northfield,MN,44.455,-93.1698,20678
Forest Lake,MN,45.2536,-92.9582,20678
West Pensacola,FL,30.4263,-87.2679,20679
Marquette,MI,46.544,-87.4082,20691
Lockport,NY,43.1698,-78.6956,20699
Wade Hampton,SC,34.8821,-82.3336,20703
Montrose,CO,38.4689,-107.859,20703
Grayslake,IL,42.3405,-88.0338,20707
Midway,FL,30.4169,-87.0229,20745
Fate,TX,32.943,-96.3858,20757
West Hempstead,NY,40.6959,-73.6507,20762
Hauppauge,NY,40.8211,-73.2109,20772
North Bellmore,NY,40.6904,-73.539,20776
North Liberty,IA,41.7438,-91.6112,20782
Louisville,CO,39.971,-105.1441,20788
Rosamond,CA,34.8658,-118.2155,20835
East Moline,IL,41.5199,-90.3879,20837
Murrysville,PA,40.4456,-79.6554,20839
Rosedale,MD,39.3266,-76.5084,20845
Mill Creek,WA,47.8631,-122.2037,20846
Hyattsville,MD,38.9613,-76.9548,20861
Arbutus,MD,39.2428,-76.6922,20869
Arnold,MO,38.4297,-90.3733,20884
Park Forest,IL,41.4817,-87.6867,20898
Germantown,WI,43.2343,-88.1217,20940
Imperial,CA,32.839,-115.572,20943
Vicksburg,MS,32.3173,-90.8868,20944
St. Andrews,SC,34.051,-81.1057,20953
Brushy Creek,TX,30.5128,-97.7386,20953
Fort Walton Beach,FL,30.4255,-86.6222,20956
Covington,WA,47.3667,-122.1045,20957
Princeton,TX,33.1778,-96.5044,20966
Anna,TX,33.3472,-96.5508,20975
Dolton,IL,41.6284,-87.5979,20979
Murphy,TX,33.0186,-96.6105,21001
Sulphur,LA,30.2286,-93.3566,21004
Bothell West,WA,47.8056,-122.2401,21014
South Holland,IL,41.5977,-87.6022,21016
Lealman,FL,27.8197,-82.6847,21026
Silverdale,WA,47.6663,-122.6828,21046
Gardner,MA,42.5845,-71.9868,21075
West St. Paul,MN,44.9018,-93.0858,21076
Hays,KS,38.8821,-99.3221,21078
Mineola,NY,40.747,-73.6394,21082
Hanahan,SC,32.9302,-80.0027,21119
Old Jamestown,MO,38.8394,-90.2847,21121
Bryant,AR,34.6152,-92.4914,21125
Willmar,MN,45.1216,-95.0569,21136
Baldwin,PA,40.369,-79.9669,21159
Carrboro,NC,35.9259,-79.0878,21170
Snellville,GA,33.8562,-84.0038,21203
Montgomery,IL,41.7237,-88.3633,21205
Lebanon,OH,39.4254,-84.2133,21216
Hunters Creek,FL,28.361,-81.4358,21255
Milwaukie,OR,45.4445,-122.6219,21256
Elmwood Park,NJ,40.9049,-74.1201,21287
Mustang,OK,35.3917,-97.7246,21290
Battle Ground,WA,45.7766,-122.5413,21293
Geneva,IL,41.8833,-88.3242,21299
Mukilteo,WA,47.9096,-122.3035,21312
Mesquite,NV,36.8032,-114.133,21314
Candler-McAfee,GA,33.7267,-84.2723,21316
Stevenson Ranch,CA,34.3894,-118.5883,21317
South Lake Tahoe,CA,38.9393,-119.9828,21319
Gallup,NM,35.5182,-108.7431,21333
Carlisle,PA,40.2,-77.2034,21335
Ashland,OR,42.1905,-122.6992,21343
Stephenville,TX,32.2147,-98.2205,21345
Otsego,MN,45.266,-93.6201,21358
East Patchogue,NY,40.7704,-72.9817,21364
Granite Bay,CA,38.7601,-121.1714,21378
New Hope,MN,45.0375,-93.3869,21402
Ashland,KY,38.4592,-82.6448,21405
